Gender,Married,Dependents,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Education,Loan_Status
Male,1,2,5000,2000,30000,360,1,Graduate,1
Female,0,1,3500,1500,20000,360,1,Graduate,1
Male,0,0,2500,1200,15000,180,0,Not Graduate,0
Male,1,2,6000,2500,40000,360,1,Graduate,1
Female,1,1,4500,1000,25000,240,1,Graduate,1
Male,0,3,2800,1800,18000,180,0,Not Graduate,0
Female,0,0,3000,500,12000,120,1,Graduate,1
Male,1,1,5500,2000,35000,360,1,Graduate,1
Male,0,2,3200,1200,22000,240,1,Graduate,1
Female,1,2,4000,1500,28000,360,1,Graduate,1
Male,0,0,2200,1000,10000,120,0,Not Graduate,0
Female,0,1,3800,900,18000,180,1,Graduate,1
Male,1,3,7000,3000,50000,360,1,Graduate,1
Female,1,1,5200,1200,30000,240,1,Graduate,1
Male,0,2,2600,800,16000,180,0,Not Graduate,0
Female,0,0,2900,700,14000,120,0,Not Graduate,0
Male,1,2,4800,1800,30000,360,1,Graduate,1
Female,1,2,5000,2000,32000,360,1,Graduate,1
Male,0,1,3300,900,19000,180,1,Graduate,1
Female,0,3,2700,1200,15000,180,0,Not Graduate,0
Male,1,1,6200,1800,38000,360,1,Graduate,1
Female,1,0,4300,800,24000,240,1,Graduate,1
Male,0,2,3000,1500,17000,180,0,Not Graduate,0
Female,0,1,3600,1000,20000,240,1,Graduate,1
Male,1,2,5800,2200,36000,360,1,Graduate,1
Female,1,3,4700,1800,30000,360,1,Graduate,1
Male,0,0,2400,600,11000,120,0,Not Graduate,0
Female,0,2,3100,900,16000,180,0,Not Graduate,0
Male,1,1,5100,1500,30000,240,1,Graduate,1
Female,1,1,4600,1400,27000,360,1,Graduate,1
Male,0,3,2900,1100,16000,180,0,Not Graduate,0
Female,0,0,3400,700,17000,180,1,Graduate,1
Male,1,2,6500,2500,42000,360,1,Graduate,1
Female,1,2,4800,1600,30000,360,1,Graduate,1
Male,0,1,2800,1000,15000,180,0,Not Graduate,0
Female,0,1,3900,800,19000,240,1,Graduate,1
Male,1,3,7200,2800,50000,360,1,Graduate,1
Female,1,0,4100,900,23000,240,1,Graduate,1
Male,0,2,2500,1200,14000,180,0,Not Graduate,0
Female,0,2,3300,1100,18000,180,0,Not Graduate,0
Male,1,1,5700,1700,34000,360,1,Graduate,1
Female,1,1,4400,1300,26000,240,1,Graduate,1
Male,0,0,2300,500,10000,120,0,Not Graduate,0
Female,0,1,3700,900,19000,180,1,Graduate,1
Male,1,2,6000,2000,40000,360,1,Graduate,1
Female,1,2,4900,1500,30000,360,1,Graduate,1
Male,0,3,3100,1400,18000,180,0,Not Graduate,0
Female,0,0,2800,600,13000,120,0,Not Graduate,0
Male,1,1,5300,1800,31000,240,1,Graduate,1
Female,1,1,4200,1000,24000,240,1,Graduate,1
